HOSPITAL_ID,PAYOR1,PATS,TC,TD,PAYER_TYPE,SUBSTANCE_CATEGORY,AVG_CHARGE,AVG_LOS
125,7,31,975850,109,,Alcohol Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,31479.032258064515,3.5161290322580645
125,8,67,3338615,258,,Alcohol Disorders; Opioid Disorders; Cannabis Disorders; Stimulant Disorders; Hallucinogen Disorders; Other Substance Related; Opioid Overdose; Other Drug Overdose; Drug Overdose,49830.07462686567,3.8507462686567164
125,10,7,314382,22,,Other Substance Related; Opioid Overdose; Drug Overdose,44911.71428571428,3.142857142857143
125,11,52,1569773,179,,Alcohol Disorders; Opioid Disorders; Cannabis Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,30187.94230769231,3.4423076923076925
129,1,1,18583,2,Government (Medicare),Alcohol Disorders,18583.0,2.0
129,2,7,281802,47,Government (Medicaid),Alcohol Disorders; Opioid Overdose,40257.42857142857,6.714285714285714
129,4,4,76751,9,Self-Pay,Alcohol Disorders,19187.75,2.25
133,1,9,220643,18,Government (Medicare),Alcohol Disorders; Stimulant Disorders; Other Substance Related; Opioid Overdose,24515.88888888889,2.0
133,2,16,726026,75,Government (Medicaid),Alcohol Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,45376.625,4.6875
133,3,3,84960,7,Private (Commercial),Alcohol Disorders; Drug Overdose,28320.0,2.3333333333333335
133,4,1,24367,2,Self-Pay,Drug Overdose,24367.0,2.0
133,5,15,627620,54,,Alcohol Disorders; Opioid Disorders; Stimulant Disorders; Opioid Overdose; Drug Overdose,41841.333333333336,3.6
133,7,3,87146,7,,Alcohol Disorders; Other Substance Related,29048.666666666668,2.3333333333333335
133,8,8,228370,16,,Alcohol Disorders; Other Substance Related; Drug Overdose,28546.25,2.0
133,10,2,57509,6,,Alcohol Disorders; Other Substance Related,28754.5,3.0
133,11,13,341254,28,,Alcohol Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,26250.30769230769,2.1538461538461537
134,1,31,1309475,126,Government (Medicare),Alcohol Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,42241.12903225807,4.064516129032258
134,2,36,1634693,142,Government (Medicaid),Alcohol Disorders; Opioid Disorders; Sedative Disorders; Other Psychoactive Substances; Other Substance Related; Opioid Overdose; Drug Overdose,45408.13888888889,3.9444444444444446
134,3,7,283840,22,Private (Commercial),Alcohol Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,40548.57142857143,3.142857142857143
134,4,7,246775,23,Self-Pay,Alcohol Disorders; Sedative Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,35253.57142857143,3.2857142857142856
134,5,63,2200931,234,,Alcohol Disorders; Opioid Disorders; Stimulant Disorders; Other Psychoactive Substances; Other Substance Related; Opioid Overdose; Drug Overdose,34935.4126984127,3.7142857142857144
134,6,5,118785,16,,Alcohol Disorders; Stimulant Disorders; Opioid Overdose,23757.0,3.2
134,7,17,709475,57,,Alcohol Disorders; Opioid Disorders; Other Substance Related; Drug Overdose,41733.82352941176,3.3529411764705883
134,8,13,453371,42,,Alcohol Disorders; Other Substance Related; Drug Overdose,34874.692307692305,3.230769230769231
134,10,5,156395,15,,Alcohol Disorders,31279.0,3.0
134,11,16,635958,71,,Alcohol Disorders; Opioid Disorders; Sedative Disorders; Other Substance Related; Opioid Overdose,39747.375,4.4375
136,1,4,72592,15,Government (Medicare),Alcohol Disorders,18148.0,3.75
136,7,4,83444,7,,Alcohol Disorders; Stimulant Disorders; Drug Overdose,20861.0,1.75
136,8,1,46494,12,,Alcohol Disorders,46494.0,12.0
136,11,1,19428,2,,Alcohol Disorders,19428.0,2.0
137,1,17,529444,80,Government (Medicare),Alcohol Disorders; Other Psychoactive Substances; Other Substance Related; Opioid Overdose; Drug Overdose,31143.764705882353,4.705882352941177
137,2,21,1079438,139,Government (Medicaid),Alcohol Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,51401.80952380953,6.619047619047619
137,3,10,398695,44,Private (Commercial),Alcohol Disorders; Opioid Disorders; Opioid Overdose; Drug Overdose,39869.5,4.4
137,4,6,268697,31,Self-Pay,Alcohol Disorders; Opioid Overdose,44782.833333333336,5.166666666666667
137,5,73,2907542,317,,Alcohol Disorders; Opioid Disorders; Stimulant Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,39829.34246575343,4.342465753424658
137,7,21,517296,63,,Alcohol Disorders; Opioid Overdose; Drug Overdose,24633.14285714286,3.0
137,8,23,668850,79,,Alcohol Disorders; Opioid Disorders; Other Substance Related; Drug Overdose,29080.434782608696,3.4347826086956523
137,10,1,10718,1,,Drug Overdose,10718.0,1.0
137,11,16,496926,56,,Alcohol Disorders; Other Substance Related; Opioid Overdose,31057.875,3.5
138,1,18,693260,86,Government (Medicare),Alcohol Disorders; Opioid Disorders; Other Substance Related; Drug Overdose,38514.444444444445,4.777777777777778
138,2,65,2521886,341,Government (Medicaid),Alcohol Disorders; Sedative Disorders; Other Psychoactive Substances; Other Substance Related; Opioid Overdose; Drug Overdose,38798.24615384615,5.246153846153846
138,3,30,1192409,116,Private (Commercial),Alcohol Disorders; Opioid Disorders; Sedative Disorders; Other Psychoactive Substances; Other Substance Related; Opioid Overdose; Drug Overdose,39746.96666666667,3.8666666666666667
138,4,28,1031995,106,Self-Pay,Alcohol Disorders; Cannabis Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,36856.96428571428,3.7857142857142856
138,5,159,5988858,719,,Alcohol Disorders; Opioid Disorders; Cannabis Disorders; Sedative Disorders; Stimulant Disorders; Hallucinogen Disorders; Other Psychoactive Substances; Other Substance Related; Opioid Overdose; Drug Overdose,37665.77358490566,4.522012578616352
138,7,25,1007131,117,,Alcohol Disorders; Stimulant Disorders; Opioid Overdose; Drug Overdose,40285.24,4.68
138,8,26,798953,100,,Alcohol Disorders; Opioid Disorders; Cannabis Disorders; Opioid Overdose; Drug Overdose,30728.96153846154,3.8461538461538463
138,10,1,10742,1,,Alcohol Disorders,10742.0,1.0
138,11,29,1229160,130,,Alcohol Disorders; Opioid Disorders; Stimulant Disorders; Opioid Overdose; Drug Overdose,42384.8275862069,4.482758620689655
139,1,62,1312119,269,Government (Medicare),Alcohol Disorders; Opioid Disorders; Cannabis Disorders; Sedative Disorders; Stimulant Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,21163.209677419356,4.338709677419355
139,2,124,3735659,684,Government (Medicaid),Other Substance Related; Alcohol Disorders; Opioid Disorders; Sedative Disorders; Opioid Overdose; Drug Overdose,30126.282258064515,5.516129032258065
139,3,74,1263557,352,Private (Commercial),Alcohol Disorders; Opioid Disorders; Cocaine Disorders; Drug Overdose,17075.094594594593,4.756756756756757
139,4,47,722990,214,Self-Pay,Alcohol Disorders; Opioid Disorders; Sedative Disorders; Other Psychoactive Substances; Opioid Overdose; Drug Overdose,15382.765957446809,4.553191489361702
139,5,560,9923913,2554,,Alcohol Disorders; Opioid Disorders; Sedative Disorders; Cocaine Disorders; Stimulant Disorders; Hallucinogen Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,17721.273214285713,4.560714285714286
139,7,131,2293206,504,,Other Substance Related; Alcohol Disorders; Opioid Disorders; Cannabis Disorders; Sedative Disorders; Stimulant Disorders; Hallucinogen Disorders; Opioid Overdose; Drug Overdose,17505.3893129771,3.8473282442748094
139,8,149,3014869,637,,Other Substance Related; Alcohol Disorders; Opioid Disorders; Cannabis Disorders; Sedative Disorders; Stimulant Disorders; Opioid Overdose; Drug Overdose,20234.020134228187,4.275167785234899
139,10,3,31653,11,,Alcohol Disorders,10551.0,3.6666666666666665
139,11,99,1647410,417,,Alcohol Disorders; Opioid Disorders; Cannabis Disorders; Sedative Disorders; Stimulant Disorders; Other Psychoactive Substances; Opioid Overdose; Drug Overdose,16640.50505050505,4.212121212121212
141,1,143,1552200,796,Government (Medicare),Alcohol Disorders; Opioid Disorders; Sedative Disorders; Stimulant Disorders,10854.545454545454,5.566433566433567
141,2,42,401700,206,Government (Medicaid),Alcohol Disorders; Opioid Disorders; Sedative Disorders,9564.285714285714,4.904761904761905
141,3,1,7800,4,Private (Commercial),Alcohol Disorders,7800.0,4.0
141,4,144,1454700,746,Self-Pay,Alcohol Disorders; Opioid Disorders; Cannabis Disorders; Sedative Disorders; Stimulant Disorders,10102.083333333334,5.180555555555555
141,5,72,772200,396,,Alcohol Disorders; Opioid Disorders; Sedative Disorders; Stimulant Disorders,10725.0,5.5
141,6,770,8608950,4935,,Alcohol Disorders; Opioid Disorders; Cannabis Disorders; Sedative Disorders; Cocaine Disorders; Stimulant Disorders; Hallucinogen Disorders; Other Psychoactive Substances,11180.454545454546,6.409090909090909
141,7,14,140400,72,,Alcohol Disorders; Opioid Disorders; Sedative Disorders,10028.57142857143,5.142857142857143
141,8,79,723450,371,,Alcohol Disorders; Opioid Disorders; Sedative Disorders; Hallucinogen Disorders,9157.594936708861,4.69620253164557
141,9,2,17550,9,,Alcohol Disorders,8775.0,4.5
141,10,7,285950,310,,Alcohol Disorders; Opioid Disorders; Sedative Disorders,40850.0,44.285714285714285
141,11,37,360750,185,,Alcohol Disorders; Opioid Disorders,9750.0,5.0
143,1,6,153857,10,Government (Medicare),Alcohol Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,25642.833333333332,1.6666666666666667
143,2,3,145106,13,Government (Medicaid),Other Substance Related,48368.666666666664,4.333333333333333
143,4,1,17013,1,Self-Pay,Drug Overdose,17013.0,1.0
143,5,16,722138,67,,Alcohol Disorders; Other Psychoactive Substances; Other Substance Related; Opioid Overdose; Drug Overdose,45133.625,4.1875
143,6,11,288293,19,,Alcohol Disorders; Other Substance Related,26208.454545454544,1.7272727272727273
143,7,9,487148,33,,Alcohol Disorders; Other Substance Related,54127.555555555555,3.6666666666666665
143,8,14,291222,26,,Alcohol Disorders; Other Substance Related; Drug Overdose,20801.571428571428,1.8571428571428572
143,11,3,51744,6,,Alcohol Disorders,17248.0,2.0
146,1,7,118047,32,Government (Medicare),Alcohol Disorders,16863.85714285714,4.571428571428571
146,2,6,85423,22,Government (Medicaid),Alcohol Disorders; Opioid Disorders; Sedative Disorders,14237.166666666666,3.6666666666666665
146,4,3,41009,13,Self-Pay,Alcohol Disorders; Opioid Disorders,13669.666666666666,4.333333333333333
146,5,50,743604,200,,Alcohol Disorders; Opioid Disorders; Sedative Disorders; Stimulant Disorders; Other Psychoactive Substances,14872.08,4.0
146,6,7,95597,26,,Alcohol Disorders; Cocaine Disorders; Stimulant Disorders,13656.714285714286,3.7142857142857144
146,7,15,193993,66,,Alcohol Disorders; Cannabis Disorders,12932.866666666667,4.4
146,8,25,320599,94,,Alcohol Disorders; Opioid Disorders; Cannabis Disorders; Sedative Disorders; Stimulant Disorders,12823.96,3.76
146,10,1,10616,2,,Stimulant Disorders,10616.0,2.0
146,11,16,242203,71,,Alcohol Disorders; Cannabis Disorders,15137.6875,4.4375
151,5,3,248405,19,,Alcohol Disorders; Opioid Overdose; Drug Overdose,82801.66666666667,6.333333333333333
151,7,1,75161,9,,Opioid Overdose,75161.0,9.0
151,8,1,58180,2,,Alcohol Disorders,58180.0,2.0
152,1,17,735138,71,Government (Medicare),Alcohol Disorders; Sedative Disorders; Stimulant Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,43243.41176470588,4.176470588235294
152,2,9,306735,23,Government (Medicaid),Alcohol Disorders; Stimulant Disorders; Other Substance Related; Drug Overdose,34081.666666666664,2.5555555555555554
152,3,7,296368,29,Private (Commercial),Alcohol Disorders; Other Substance Related,42338.28571428572,4.142857142857143
152,7,40,1697338,166,,Alcohol Disorders; Opioid Disorders; Sedative Disorders; Stimulant Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,42433.45,4.15
152,8,37,1979516,221,,Alcohol Disorders; Cannabis Disorders; Stimulant Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,53500.43243243243,5.972972972972973
152,9,1,60735,9,,Other Substance Related,60735.0,9.0
152,10,1,40895,4,,Alcohol Disorders,40895.0,4.0
152,11,9,446683,43,,Alcohol Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,49631.444444444445,4.777777777777778
153,1,19,187200,104,Government (Medicare),Alcohol Disorders; Opioid Disorders,9852.631578947368,5.473684210526316
153,2,7,77400,43,Government (Medicaid),Alcohol Disorders; Sedative Disorders,11057.142857142857,6.142857142857143
153,4,18,226800,126,Self-Pay,Alcohol Disorders; Opioid Disorders,12600.0,7.0
153,5,12,124900,70,,Alcohol Disorders; Stimulant Disorders,10408.333333333334,5.833333333333333
153,6,67,662400,368,,Alcohol Disorders; Opioid Disorders; Stimulant Disorders,9886.567164179105,5.492537313432836
153,7,10,91800,51,,Alcohol Disorders,9180.0,5.1
153,8,21,167400,93,,Alcohol Disorders,7971.428571428572,4.428571428571429
153,9,1,5400,3,,Alcohol Disorders,5400.0,3.0
153,11,14,124100,69,,Alcohol Disorders; Opioid Disorders,8864.285714285714,4.928571428571429
155,1,10,537468,57,Government (Medicare),Alcohol Disorders; Other Psychoactive Substances; Other Substance Related; Drug Overdose,53746.8,5.7
155,2,6,146305,17,Government (Medicaid),Other Substance Related; Drug Overdose,24384.166666666668,2.8333333333333335
155,3,2,33572,5,Private (Commercial),Other Substance Related; Drug Overdose,16786.0,2.5
155,7,22,1080118,108,,Alcohol Disorders; Opioid Overdose; Drug Overdose,49096.27272727273,4.909090909090909
155,8,17,764135,74,,Alcohol Disorders; Sedative Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,44949.117647058825,4.352941176470588
155,11,7,398163,55,,Alcohol Disorders; Opioid Overdose; Drug Overdose,56880.42857142857,7.857142857142857
158,1,2,56777,5,Government (Medicare),Other Substance Related; Opioid Overdose,28388.5,2.5
158,2,6,171869,17,Government (Medicaid),Other Substance Related; Drug Overdose,28644.833333333332,2.8333333333333335
158,4,1,17590,1,Self-Pay,Other Substance Related,17590.0,1.0
158,5,2,20265,3,,Alcohol Disorders; Other Substance Related,10132.5,1.5
158,7,2,52777,6,,Other Substance Related,26388.5,3.0
158,8,2,54546,7,,Other Substance Related,27273.0,3.5
160,1,12,478662,42,Government (Medicare),Alcohol Disorders; Other Substance Related; Opioid Overdose,39888.5,3.5
160,2,21,858515,98,Government (Medicaid),Alcohol Disorders; Other Substance Related; Drug Overdose,40881.666666666664,4.666666666666667
160,3,31,1008123,89,Private (Commercial),Alcohol Disorders; Cannabis Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,32520.09677419355,2.870967741935484
160,4,6,168034,14,Self-Pay,Alcohol Disorders; Other Substance Related,28005.666666666668,2.3333333333333335
160,7,6,239578,21,,Alcohol Disorders; Other Substance Related; Opioid Overdose,39929.666666666664,3.5
160,8,4,188063,21,,Alcohol Disorders; Other Substance Related,47015.75,5.25
160,11,1,20267,3,,Drug Overdose,20267.0,3.0
162,1,23,1096702,97,Government (Medicare),Alcohol Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,47682.69565217391,4.217391304347826
162,2,18,894660,82,Government (Medicaid),Alcohol Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,49703.333333333336,4.555555555555555
162,3,3,170938,17,Private (Commercial),Alcohol Disorders; Opioid Disorders; Other Substance Related,56979.333333333336,5.666666666666667
162,7,52,2844120,284,,Alcohol Disorders; Opioid Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,54694.61538461538,5.461538461538462
162,8,69,4140969,376,,Alcohol Disorders; Sedative Disorders; Stimulant Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,60014.04347826087,5.449275362318841
162,11,11,935608,70,,Alcohol Disorders; Other Substance Related; Drug Overdose,85055.27272727272,6.363636363636363
170,1,6,239219,25,Government (Medicare),Alcohol Disorders; Opioid Overdose; Drug Overdose,39869.833333333336,4.166666666666667
170,2,1,14360,1,Government (Medicaid),Alcohol Disorders,14360.0,1.0
170,7,5,255116,28,,Alcohol Disorders; Drug Overdose,51023.2,5.6
170,8,4,272990,32,,Alcohol Disorders; Other Substance Related,68247.5,8.0
171,1,2,37305,3,Government (Medicare),Alcohol Disorders; Drug Overdose,18652.5,1.5
171,2,2,45831,3,Government (Medicaid),Other Substance Related,22915.5,1.5
171,5,1,33747,3,,Alcohol Disorders,33747.0,3.0
171,6,1,16593,1,,Alcohol Disorders,16593.0,1.0
171,7,6,96430,12,,Alcohol Disorders,16071.666666666666,2.0
171,8,5,115474,9,,Alcohol Disorders; Other Substance Related,23094.8,1.8
171,11,2,25418,3,,Alcohol Disorders,12709.0,1.5
176,1,6,131736,15,Government (Medicare),Alcohol Disorders; Other Substance Related; Drug Overdose,21956.0,2.5
176,2,5,121029,14,Government (Medicaid),Alcohol Disorders; Opioid Disorders; Opioid Overdose; Drug Overdose,24205.8,2.8
176,3,4,85499,9,Private (Commercial),Alcohol Disorders; Drug Overdose,21374.75,2.25
176,4,1,9308,1,Self-Pay,Drug Overdose,9308.0,1.0
176,5,17,331250,48,,Alcohol Disorders; Other Substance Related; Drug Overdose,19485.29411764706,2.823529411764706
176,7,4,100268,14,,Alcohol Disorders,25067.0,3.5
176,8,15,268373,38,,Alcohol Disorders; Other Substance Related; Drug Overdose,17891.533333333333,2.533333333333333
176,11,5,103323,11,,Alcohol Disorders,20664.6,2.2
419,8,1,44696,9,,Alcohol Disorders,44696.0,9.0
441,1,6,144305,41,Government (Medicare),Alcohol Disorders; Stimulant Disorders; Other Psychoactive Substances,24050.833333333332,6.833333333333333
441,2,6,76640,23,Government (Medicaid),Alcohol Disorders; Cannabis Disorders; Stimulant Disorders,12773.333333333334,3.8333333333333335
441,3,6,83114,26,Private (Commercial),Alcohol Disorders; Opioid Disorders; Stimulant Disorders; Other Psychoactive Substances,13852.333333333334,4.333333333333333
441,4,12,144809,42,Self-Pay,Alcohol Disorders; Stimulant Disorders; Other Psychoactive Substances; Drug Overdose,12067.416666666666,3.5
441,5,25,334133,97,,Alcohol Disorders; Stimulant Disorders; Other Psychoactive Substances; Drug Overdose,13365.32,3.88
441,6,16,205419,62,,Alcohol Disorders; Opioid Disorders; Cannabis Disorders; Stimulant Disorders; Other Psychoactive Substances,12838.6875,3.875
441,7,9,98238,29,,Alcohol Disorders; Cannabis Disorders,10915.333333333334,3.2222222222222223
441,8,14,149133,45,,Alcohol Disorders; Cannabis Disorders; Stimulant Disorders; Other Psychoactive Substances,10652.357142857143,3.2142857142857144
441,10,1,13474,4,,Other Psychoactive Substances,13474.0,4.0
441,11,9,80848,25,,Alcohol Disorders; Opioid Disorders; Cannabis Disorders; Stimulant Disorders,8983.111111111111,2.7777777777777777
456,1,6,61160,22,Government (Medicare),Alcohol Disorders; Opioid Disorders,10193.333333333334,3.6666666666666665
456,3,1,25020,9,Private (Commercial),Alcohol Disorders,25020.0,9.0
456,4,6,69500,25,Self-Pay,Alcohol Disorders,11583.333333333334,4.166666666666667
456,5,5,61160,22,,Alcohol Disorders,12232.0,4.4
456,6,35,455245,164,,Alcohol Disorders,13007.0,4.685714285714286
456,7,2,33360,12,,Alcohol Disorders,16680.0,6.0
456,8,19,225180,81,,Alcohol Disorders; Opioid Disorders,11851.578947368422,4.2631578947368425
456,11,6,63940,23,,Alcohol Disorders; Cannabis Disorders,10656.666666666666,3.8333333333333335
458,1,11,120600,60,Government (Medicare),Alcohol Disorders; Cannabis Disorders; Stimulant Disorders,10963.636363636364,5.454545454545454
458,2,4,46230,23,Government (Medicaid),Alcohol Disorders,11557.5,5.75
458,4,16,158790,79,Self-Pay,Alcohol Disorders; Cannabis Disorders; Cocaine Disorders; Stimulant Disorders; Other Psychoactive Substances,9924.375,4.9375
458,5,6,58290,29,,Alcohol Disorders; Cannabis Disorders; Stimulant Disorders,9715.0,4.833333333333333
458,6,83,779880,388,,Alcohol Disorders; Opioid Disorders; Cannabis Disorders; Sedative Disorders; Stimulant Disorders; Other Psychoactive Substances,9396.144578313253,4.674698795180723
458,7,5,54270,27,,Alcohol Disorders,10854.0,5.4
458,8,17,154770,77,,Alcohol Disorders; Opioid Disorders; Stimulant Disorders,9104.117647058823,4.529411764705882
458,10,1,10050,5,,Alcohol Disorders,10050.0,5.0
458,11,19,158790,79,,Alcohol Disorders; Opioid Disorders; Stimulant Disorders,8357.368421052632,4.157894736842105
459,2,1,45498,9,Government (Medicaid),Alcohol Disorders,45498.0,9.0
464,1,1,133341,19,Government (Medicare),Opioid Overdose,133341.0,19.0
476,1,6,112473,31,Government (Medicare),Alcohol Disorders; Stimulant Disorders,18745.5,5.166666666666667
476,2,11,149232,35,Government (Medicaid),Alcohol Disorders,13566.545454545454,3.1818181818181817
476,3,8,109798,26,Private (Commercial),Alcohol Disorders; Drug Overdose,13724.75,3.25
476,4,24,441754,105,Self-Pay,Alcohol Disorders; Opioid Disorders; Cannabis Disorders; Stimulant Disorders; Drug Overdose,18406.416666666668,4.375
476,5,41,585399,122,,Alcohol Disorders; Opioid Disorders; Sedative Disorders; Cocaine Disorders; Stimulant Disorders; Other Psychoactive Substances,14278.024390243903,2.975609756097561
476,6,1,11164,2,,Opioid Disorders,11164.0,2.0
476,7,15,161436,38,,Alcohol Disorders; Drug Overdose,10762.4,2.533333333333333
476,8,23,326531,74,,Alcohol Disorders; Stimulant Disorders; Other Psychoactive Substances; Drug Overdose,14197.0,3.217391304347826
476,10,1,27340,7,,Alcohol Disorders,27340.0,7.0
476,11,14,183223,36,,Alcohol Disorders; Stimulant Disorders,13087.357142857143,2.5714285714285716
490,4,1,46386,13,Self-Pay,Alcohol Disorders,46386.0,13.0
490,8,1,2528,1,,Drug Overdose,2528.0,1.0
497,1,1,59143,15,Government (Medicare),Sedative Disorders,59143.0,15.0
497,2,2,90773,21,Government (Medicaid),Alcohol Disorders; Other Substance Related,45386.5,10.5
710,1,1,33865,3,Government (Medicare),Alcohol Disorders,33865.0,3.0
710,2,2,76581,13,Government (Medicaid),Alcohol Disorders; Opioid Overdose,38290.5,6.5
710,7,1,29376,2,,Opioid Overdose,29376.0,2.0
756,1,41,1390963,153,Government (Medicare),Alcohol Disorders; Opioid Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,33925.92682926829,3.731707317073171
756,2,28,1095836,136,Government (Medicaid),Alcohol Disorders; Stimulant Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,39137.0,4.857142857142857
756,3,12,320708,52,Private (Commercial),Alcohol Disorders; Opioid Disorders; Cannabis Disorders; Stimulant Disorders; Other Psychoactive Substances; Drug Overdose,26725.666666666668,4.333333333333333
756,4,11,229656,42,Self-Pay,Alcohol Disorders; Sedative Disorders; Stimulant Disorders; Opioid Overdose; Drug Overdose,20877.81818181818,3.8181818181818183
756,5,91,2061661,357,,Alcohol Disorders; Opioid Disorders; Cannabis Disorders; Sedative Disorders; Stimulant Disorders; Other Psychoactive Substances; Other Substance Related; Opioid Overdose; Drug Overdose,22655.615384615383,3.923076923076923
756,6,21,579455,84,,Alcohol Disorders; Stimulant Disorders; Other Psychoactive Substances; Other Substance Related; Opioid Overdose; Drug Overdose,27593.095238095237,4.0
756,7,53,1252841,181,,Alcohol Disorders; Sedative Disorders; Other Psychoactive Substances; Other Substance Related; Opioid Overdose; Drug Overdose,23638.509433962263,3.4150943396226414
756,8,34,1061101,158,,Alcohol Disorders; Sedative Disorders; Stimulant Disorders; Other Psychoactive Substances; Other Substance Related; Opioid Overdose; Drug Overdose,31208.852941176472,4.647058823529412
756,10,5,79728,12,,Alcohol Disorders; Other Substance Related,15945.6,2.4
756,11,25,1015325,129,,Alcohol Disorders; Cannabis Disorders; Stimulant Disorders; Other Psychoactive Substances; Other Substance Related; Opioid Overdose,40613.0,5.16
