HOSPITAL_ID,PATS,TC,TD,AVG_CHARGE,AVG_LOS
141,1311,14325650,8030,10927.269260106788,6.1250953470633105
139,1249,23945376,5642,19171.63811048839,4.517213771016814
32,670,17612574,2498,26287.423880597016,3.728358208955224
55,586,30626832,2330,52264.21843003413,3.9761092150170647
27,534,14480893,2195,27117.777153558054,4.110486891385768
94,442,10454237,1417,23652.119909502264,3.2058823529411766
51,405,22729805,1860,56122.97530864197,4.592592592592593
57,390,11249953,1435,28846.033333333333,3.6794871794871793
138,381,14474394,1716,37990.535433070865,4.503937007874016
53,377,25474948,1999,67572.80636604775,5.30238726790451
125,354,13916697,1446,39312.70338983051,4.084745762711864
3,352,6827920,1275,19397.5,3.622159090909091
21,330,11198672,1446,33935.3696969697,4.381818181818182
109,322,10535663,1183,32719.450310559005,3.6739130434782608
756,321,9087274,1304,28309.26479750779,4.062305295950155
31,302,18645652,1233,61740.56953642384,4.082781456953643
81,279,14334035,1427,51376.46953405018,5.114695340501792
82,261,10719222,1121,41069.816091954024,4.295019157088123
103,250,9502301,888,38009.204,3.552
114,244,4357853,1007,17860.053278688523,4.127049180327869
63,233,13892538,1153,59624.62660944206,4.948497854077253
113,233,15131980,957,64944.12017167382,4.1072961373390555
108,228,12686975,1181,55644.62719298246,5.1798245614035086
28,224,6224233,792,27786.754464285714,3.5357142857142856
11,212,11615654,1068,54790.82075471698,5.037735849056604
59,203,4309337,648,21228.26108374384,3.1921182266009853
134,200,7749698,748,38748.49,3.74
77,195,9469409,911,48561.071794871794,4.671794871794872
25,194,8161492,735,42069.54639175258,3.788659793814433
23,189,6071225,630,32122.8835978836,3.3333333333333335
137,188,6877606,810,36583.01063829787,4.308510638297872
162,176,10082997,926,57289.755681818184,5.261363636363637
153,169,1667400,927,9866.272189349113,5.485207100591716
16,168,4469122,572,26601.916666666668,3.4047619047619047
458,162,1541670,767,9516.481481481482,4.734567901234568
105,162,6153698,641,37985.79012345679,3.95679012345679
64,152,6277058,558,41296.43421052631,3.6710526315789473
476,144,2108350,476,14641.319444444445,3.3055555555555554
49,135,5930220,619,43927.555555555555,4.5851851851851855
60,135,6284377,511,46550.94074074074,3.785185185185185
146,130,1851091,526,14239.161538461538,4.046153846153846
33,127,5178586,330,40776.26771653543,2.5984251968503935
38,122,5118428,587,41954.32786885246,4.811475409836065
152,121,5563408,566,45978.57851239669,4.677685950413223
37,120,2269614,365,18913.45,3.0416666666666665
117,118,6303951,275,53423.313559322036,2.330508474576271
441,104,1330113,394,12789.548076923076,3.7884615384615383
71,101,2139694,371,21185.08910891089,3.6732673267326734
22,101,4501367,471,44567.9900990099,4.663366336633663
45,101,4150157,401,41090.66336633663,3.9702970297029703
62,87,3680021,294,42299.09195402299,3.3793103448275863
160,81,2961242,288,36558.543209876545,3.5555555555555554
456,80,994565,358,12432.0625,4.475
133,70,2397895,213,34255.642857142855,3.0428571428571427
43,70,1960078,313,28001.114285714284,4.4714285714285715
102,69,2308361,225,33454.50724637681,3.260869565217391
110,68,2643408,308,38873.64705882353,4.529411764705882
155,64,2959761,316,46246.265625,4.9375
58,64,1120713,145,17511.140625,2.265625
143,63,2156521,175,34230.49206349206,2.7777777777777777
48,63,1512535,189,24008.492063492064,3.0
83,62,1487434,143,23990.870967741936,2.306451612903226
87,59,2495115,304,42290.08474576271,5.1525423728813555
176,57,1150786,150,20189.22807017544,2.6315789473684212
99,54,1672137,154,30965.5,2.8518518518518516
50,49,1017142,127,20758.0,2.5918367346938775
124,44,1757813,180,39950.295454545456,4.090909090909091
65,44,1293542,167,29398.68181818182,3.7954545454545454
2,41,971826,96,23703.073170731706,2.341463414634146
34,41,1756772,168,42848.09756097561,4.097560975609756
70,39,1162344,116,29803.69230769231,2.9743589743589745
7,38,988110,124,26002.894736842107,3.263157894736842
116,34,534733,76,15727.441176470587,2.235294117647059
1,31,2040454,176,65821.09677419355,5.67741935483871
85,30,919640,95,30654.666666666668,3.1666666666666665
79,28,1163317,101,41547.03571428572,3.607142857142857
68,27,1195841,68,44290.40740740741,2.5185185185185186
69,24,358379,59,14932.458333333334,2.4583333333333335
107,24,579214,106,24133.916666666668,4.416666666666667
12,20,547918,41,27395.9,2.05
15,20,336388,36,16819.4,1.8
101,19,526154,68,27692.315789473683,3.5789473684210527
171,19,370798,34,19515.684210526317,1.7894736842105263
20,18,440471,55,24470.61111111111,3.0555555555555554
170,16,781685,86,48855.3125,5.375
18,16,567570,76,35473.125,4.75
158,15,373824,39,24921.6,2.6
90,15,343322,30,22888.133333333335,2.0
88,14,831853,44,59418.07142857143,3.142857142857143
119,14,257230,32,18373.571428571428,2.2857142857142856
129,12,377136,58,31428.0,4.833333333333333
136,10,221958,36,22195.8,3.6
4,9,169387,19,18820.777777777777,2.111111111111111
67,8,285792,30,35724.0,3.75
93,7,143718,19,20531.14285714286,2.7142857142857144
42,6,139383,17,23230.5,2.8333333333333335
41,6,85414,14,14235.666666666666,2.3333333333333335
151,5,381746,30,76349.2,6.0
36,5,111449,18,22289.8,3.6
115,5,186405,24,37281.0,4.8
91,4,60651,14,15162.75,3.5
710,4,139822,18,34955.5,4.5
19,4,112007,16,28001.75,4.0
24,3,85441,9,28480.333333333332,3.0
497,3,149916,36,49972.0,12.0
120,3,43920,4,14640.0,1.3333333333333333
92,3,23430,6,7810.0,2.0
54,3,47937,8,15979.0,2.6666666666666665
121,2,18106,2,9053.0,1.0
14,2,20689,3,10344.5,1.5
5,2,21138,4,10569.0,2.0
66,2,24676,4,12338.0,2.0
490,2,48914,14,24457.0,7.0
35,2,45862,5,22931.0,2.5
111,1,16336,1,16336.0,1.0
97,1,13062,3,13062.0,3.0
8,1,29569,4,29569.0,4.0
459,1,45498,9,45498.0,9.0
464,1,133341,19,133341.0,19.0
419,1,44696,9,44696.0,9.0
