"data_as_of","jurisdiction_of_occurrence","urban_rural_classification","year","month","time_period","total_deaths","drug_overdose_deaths"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2018","12","12 month-ending","732433","20724"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2018","12","12 month-ending","659548","17832"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2018","12","12 month-ending","620692","15213"
"2021-07-04T00:00:00.000","United States","4-Small metro","2018","12","12 month-ending","295592","5497"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2018","12","12 month-ending","299711","5115"
"2021-07-04T00:00:00.000","United States","6-Noncore","2018","12","12 month-ending","231229","2986"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2019","1","12 month-ending","724199","20757"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2019","1","12 month-ending","653138","17705"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2019","1","12 month-ending","614342","15205"
"2021-07-04T00:00:00.000","United States","4-Small metro","2019","1","12 month-ending","292862","5523"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2019","1","12 month-ending","296834","5077"
"2021-07-04T00:00:00.000","United States","6-Noncore","2019","1","12 month-ending","228735","2960"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2019","2","12 month-ending","723286","20801"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2019","2","12 month-ending","651606","17665"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2019","2","12 month-ending","613839","15182"
"2021-07-04T00:00:00.000","United States","4-Small metro","2019","2","12 month-ending","292281","5456"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2019","2","12 month-ending","296505","5076"
"2021-07-04T00:00:00.000","United States","6-Noncore","2019","2","12 month-ending","228416","2983"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2019","3","12 month-ending","724576","20918"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2019","3","12 month-ending","652963","17548"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2019","3","12 month-ending","615096","15244"
"2021-07-04T00:00:00.000","United States","4-Small metro","2019","3","12 month-ending","292979","5424"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2019","3","12 month-ending","297394","5157"
"2021-07-04T00:00:00.000","United States","6-Noncore","2019","3","12 month-ending","229049","2966"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2019","4","12 month-ending","724876","20971"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2019","4","12 month-ending","653643","17460"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2019","4","12 month-ending","615947","15319"
"2021-07-04T00:00:00.000","United States","4-Small metro","2019","4","12 month-ending","293045","5421"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2019","4","12 month-ending","297576","5149"
"2021-07-04T00:00:00.000","United States","6-Noncore","2019","4","12 month-ending","229060","2944"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2019","5","12 month-ending","726349","21069"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2019","5","12 month-ending","655892","17503"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2019","5","12 month-ending","617646","15312"
"2021-07-04T00:00:00.000","United States","4-Small metro","2019","5","12 month-ending","293859","5418"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2019","5","12 month-ending","298672","5096"
"2021-07-04T00:00:00.000","United States","6-Noncore","2019","5","12 month-ending","229850","2922"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2019","6","12 month-ending","727211","21097"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2019","6","12 month-ending","657433","17430"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2019","6","12 month-ending","618642","15334"
"2021-07-04T00:00:00.000","United States","4-Small metro","2019","6","12 month-ending","294655","5414"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2019","6","12 month-ending","299188","5114"
"2021-07-04T00:00:00.000","United States","6-Noncore","2019","6","12 month-ending","230458","2921"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2019","7","12 month-ending","728091","21256"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2019","7","12 month-ending","658814","17413"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2019","7","12 month-ending","619119","15357"
"2021-07-04T00:00:00.000","United States","4-Small metro","2019","7","12 month-ending","294840","5427"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2019","7","12 month-ending","299935","5140"
"2021-07-04T00:00:00.000","United States","6-Noncore","2019","7","12 month-ending","230888","2939"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2019","8","12 month-ending","728444","21546"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2019","8","12 month-ending","659694","17411"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2019","8","12 month-ending","619785","15440"
"2021-07-04T00:00:00.000","United States","4-Small metro","2019","8","12 month-ending","295096","5416"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2019","8","12 month-ending","300305","5145"
"2021-07-04T00:00:00.000","United States","6-Noncore","2019","8","12 month-ending","231389","2932"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2019","9","12 month-ending","729230","21804"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2019","9","12 month-ending","661134","17425"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2019","9","12 month-ending","620657","15491"
"2021-07-04T00:00:00.000","United States","4-Small metro","2019","9","12 month-ending","295251","5432"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2019","9","12 month-ending","300702","5177"
"2021-07-04T00:00:00.000","United States","6-Noncore","2019","9","12 month-ending","231758","2943"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2019","10","12 month-ending","729601","22126"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2019","10","12 month-ending","662328","17473"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2019","10","12 month-ending","622452","15598"
"2021-07-04T00:00:00.000","United States","4-Small metro","2019","10","12 month-ending","295822","5518"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2019","10","12 month-ending","300952","5203"
"2021-07-04T00:00:00.000","United States","6-Noncore","2019","10","12 month-ending","231335","2965"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2019","11","12 month-ending","731103","22520"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2019","11","12 month-ending","663666","17651"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2019","11","12 month-ending","623690","15762"
"2021-07-04T00:00:00.000","United States","4-Small metro","2019","11","12 month-ending","296247","5659"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2019","11","12 month-ending","301720","5283"
"2021-07-04T00:00:00.000","United States","6-Noncore","2019","11","12 month-ending","231717","3007"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2019","12","12 month-ending","733320","22937"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2019","12","12 month-ending","664855","17764"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2019","12","12 month-ending","625611","15835"
"2021-07-04T00:00:00.000","United States","4-Small metro","2019","12","12 month-ending","296445","5745"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2019","12","12 month-ending","302347","5313"
"2021-07-04T00:00:00.000","United States","6-Noncore","2019","12","12 month-ending","232260","3036"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2020","1","12 month-ending","734739","23239"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2020","1","12 month-ending","667048","18049"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2020","1","12 month-ending","627406","16028"
"2021-07-04T00:00:00.000","United States","4-Small metro","2020","1","12 month-ending","296545","5804"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2020","1","12 month-ending","302945","5373"
"2021-07-04T00:00:00.000","United States","6-Noncore","2020","1","12 month-ending","232573","3103"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2020","2","12 month-ending","737549","23696"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2020","2","12 month-ending","669874","18287"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2020","2","12 month-ending","630331","16312"
"2021-07-04T00:00:00.000","United States","4-Small metro","2020","2","12 month-ending","297900","5945"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2020","2","12 month-ending","304038","5437"
"2021-07-04T00:00:00.000","United States","6-Noncore","2020","2","12 month-ending","233179","3125"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2020","3","12 month-ending","744863","24264"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2020","3","12 month-ending","673936","18562"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2020","3","12 month-ending","632237","16648"
"2021-07-04T00:00:00.000","United States","4-Small metro","2020","3","12 month-ending","298483","6019"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2020","3","12 month-ending","304257","5432"
"2021-07-04T00:00:00.000","United States","6-Noncore","2020","3","12 month-ending","233420","3182"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2020","4","12 month-ending","787355","25048"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2020","4","12 month-ending","703265","19074"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2020","4","12 month-ending","641623","17197"
"2021-07-04T00:00:00.000","United States","4-Small metro","2020","4","12 month-ending","300868","6218"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2020","4","12 month-ending","306341","5587"
"2021-07-04T00:00:00.000","United States","6-Noncore","2020","4","12 month-ending","234383","3296"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2020","5","12 month-ending","803732","26304"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2020","5","12 month-ending","716943","19750"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2020","5","12 month-ending","649400","18000"
"2021-07-04T00:00:00.000","United States","4-Small metro","2020","5","12 month-ending","303632","6559"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2020","5","12 month-ending","307977","5901"
"2021-07-04T00:00:00.000","United States","6-Noncore","2020","5","12 month-ending","235417","3451"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2020","6","12 month-ending","812328","27104"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2020","6","12 month-ending","721839","20188"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2020","6","12 month-ending","654750","18554"
"2021-07-04T00:00:00.000","United States","4-Small metro","2020","6","12 month-ending","306079","6791"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2020","6","12 month-ending","309853","6091"
"2021-07-04T00:00:00.000","United States","6-Noncore","2020","6","12 month-ending","236825","3559"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2020","7","12 month-ending","828712","27996"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2020","7","12 month-ending","730268","20584"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2020","7","12 month-ending","667682","19142"
"2021-07-04T00:00:00.000","United States","4-Small metro","2020","7","12 month-ending","310570","6977"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2020","7","12 month-ending","313820","6213"
"2021-07-04T00:00:00.000","United States","6-Noncore","2020","7","12 month-ending","239818","3672"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2020","8","12 month-ending","843194","28701"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2020","8","12 month-ending","738080","20973"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2020","8","12 month-ending","679890","19569"
"2021-07-04T00:00:00.000","United States","4-Small metro","2020","8","12 month-ending","316104","7158"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2020","8","12 month-ending","319260","6385"
"2021-07-04T00:00:00.000","United States","6-Noncore","2020","8","12 month-ending","243796","3801"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2020","9","12 month-ending","851282","29226"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2020","9","12 month-ending","743839","21251"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2020","9","12 month-ending","688339","20099"
"2021-07-04T00:00:00.000","United States","4-Small metro","2020","9","12 month-ending","320284","7284"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2020","9","12 month-ending","323443","6431"
"2021-07-04T00:00:00.000","United States","6-Noncore","2020","9","12 month-ending","247153","3864"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2020","10","12 month-ending","858670","29644"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2020","10","12 month-ending","750112","21513"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2020","10","12 month-ending","696001","20345"
"2021-07-04T00:00:00.000","United States","4-Small metro","2020","10","12 month-ending","324694","7367"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2020","10","12 month-ending","328619","6529"
"2021-07-04T00:00:00.000","United States","6-Noncore","2020","10","12 month-ending","252034","3934"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2020","11","12 month-ending","871125","30016"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2020","11","12 month-ending","761433","21709"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2020","11","12 month-ending","709704","20605"
"2021-07-04T00:00:00.000","United States","4-Small metro","2020","11","12 month-ending","333238","7436"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2020","11","12 month-ending","337735","6634"
"2021-07-04T00:00:00.000","United States","6-Noncore","2020","11","12 month-ending","259934","4012"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2020","12","12 month-ending","901373","30420"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2020","12","12 month-ending","784098","21871"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2020","12","12 month-ending","732775","20957"
"2021-07-04T00:00:00.000","United States","4-Small metro","2020","12","12 month-ending","345278","7511"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2020","12","12 month-ending","350662","6781"
"2021-07-04T00:00:00.000","United States","6-Noncore","2020","12","12 month-ending","269507","4114"
