county_fips,county_name,total_pop,female_pop,female_share_pct,median_hh_income,poverty_count,poverty_rate_pct,unemployment_rate_pct,uninsured_rate_pct,employment_rate_pct,medicaid_rate_pct,single_mother_hh_with_kids,hh_with_kids_total,single_mother_pct,female_hh_no_spouse_pop,total_renters,rent_burdened_count,rent_burden_30pct_rate
18001,Adams County,35995,17987,50.0,63128,4411,12.4,2.7,23.3,59.6,16.1,630,12345,5.1,4464,2198,714,32.5
18003,Allen County,388791,197503,50.8,68839,46610,12.2,4.6,8.2,63.3,16.7,12474,154183,8.1,70444,47601,20013,42.0
18005,Bartholomew County,82881,40949,49.4,80365,9813,12.0,3.7,5.2,63.3,15.1,2350,32984,7.1,14323,9921,3882,39.1
18007,Benton County,8708,4244,48.7,61811,1038,12.1,3.6,6.4,59.5,18.1,233,3469,6.7,1366,675,237,35.1
18009,Blackford County,12007,6132,51.1,47560,2069,17.5,5.5,7.5,51.4,18.4,364,5060,7.2,2316,1334,555,41.6
18011,Boone County,72827,36518,50.1,104865,3689,5.1,3.0,4.1,67.7,4.2,1513,27948,5.4,10004,5783,2058,35.6
18013,Brown County,15543,7767,50.0,72644,1321,8.6,3.2,6.1,55.6,9.3,285,6695,4.3,2061,941,513,54.5
18015,Carroll County,20443,10045,49.1,64003,1698,8.4,2.9,11.8,60.4,11.5,331,8024,4.1,3380,1548,384,24.8
18017,Cass County,37703,18870,50.0,56525,4674,12.7,3.4,6.9,60.5,14.7,1554,14924,10.4,6832,3679,1231,33.5
18019,Clark County,122800,62470,50.9,72298,11232,9.3,3.8,6.3,63.7,10.7,3616,49184,7.4,21016,12310,5471,44.4
18021,Clay County,26431,13339,50.5,67676,2744,10.7,3.9,5.7,56.4,9.8,816,10541,7.7,4086,2376,695,29.3
18023,Clinton County,32967,16506,50.1,63690,2744,8.5,3.1,7.4,62.7,10.7,822,12396,6.6,5735,3252,1148,35.3
18025,Crawford County,10494,5199,49.5,48993,2483,23.8,2.6,6.5,51.0,35.6,145,4573,3.2,1948,862,277,32.1
18027,Daviess County,33442,16762,50.1,68561,3419,10.4,1.7,23.6,60.8,12.4,648,11568,5.6,4135,3294,1232,37.4
18029,Dearborn County,50828,25461,50.1,82693,4075,8.1,2.3,4.8,62.1,9.7,1014,20148,5.0,7390,3075,1088,35.4
18031,Decatur County,26411,13198,50.0,74228,2416,9.3,2.6,4.0,64.6,10.3,595,10518,5.7,4213,2609,754,28.9
18033,DeKalb County,43584,21831,50.1,70080,4354,10.1,4.1,6.8,63.1,14.9,1162,17008,6.8,6138,3014,1027,34.1
18035,Delaware County,112109,57908,51.7,56932,20789,19.9,6.2,7.2,56.0,20.2,3664,46146,7.9,26725,15464,7380,47.7
18037,Dubois County,43563,21639,49.7,71918,4055,9.5,2.1,4.4,65.9,13.9,995,17588,5.7,7411,4222,1201,28.4
18039,Elkhart County,206868,104237,50.4,65617,25517,12.5,3.4,14.7,62.8,18.8,6083,71760,8.5,29035,20634,9402,45.6
18041,Fayette County,23390,11831,50.6,56659,3830,16.7,4.1,6.0,54.6,18.0,805,9479,8.5,4344,2791,1349,48.3
18043,Floyd County,80512,41142,51.1,78179,7877,10.0,3.8,5.1,61.7,15.2,2410,31173,7.7,13341,8385,3580,42.7
18045,Fountain County,16546,8252,49.9,62526,2032,12.4,4.5,6.9,59.1,13.9,469,6854,6.8,2590,1731,483,27.9
18047,Franklin County,22929,11530,50.3,79702,1942,8.5,3.2,7.0,60.8,10.9,517,9131,5.7,3326,1691,523,30.9
18049,Fulton County,20411,10085,49.4,62878,2541,12.6,7.4,9.9,54.5,17.0,623,7927,7.9,2993,1733,577,33.3
18051,Gibson County,32986,16243,49.2,67763,3300,10.2,2.9,4.2,60.7,11.0,637,13156,4.8,5505,3188,963,30.2
18053,Grant County,66377,34476,51.9,54007,11499,18.8,6.7,7.2,55.3,26.4,2269,26757,8.5,12104,7554,2851,37.7
18055,Greene County,30954,15227,49.2,59753,4057,13.3,6.4,8.1,55.2,19.6,833,12781,6.5,5277,3160,1012,32.0
18057,Hamilton County,357176,181604,50.8,117957,15422,4.3,2.8,4.2,69.2,4.4,6402,133171,4.8,41846,31582,12349,39.1
18059,Hancock County,82013,41090,50.1,91326,3642,4.5,2.7,5.2,65.7,4.3,1425,32246,4.4,11072,6582,2593,39.4
18061,Harrison County,39785,19766,49.7,72468,2956,7.5,3.8,5.5,58.4,9.1,738,15154,4.9,5945,2368,695,29.3
18063,Hendricks County,179379,89272,49.8,99988,8738,5.0,2.5,5.6,67.3,5.3,3893,65839,5.9,21240,14584,6320,43.3
18065,Henry County,48896,23105,47.3,60144,5957,13.0,4.1,6.7,52.4,17.0,1225,18460,6.6,7896,4442,1524,34.3
18067,Howard County,83610,43009,51.4,62496,10292,12.5,5.7,6.7,55.9,18.1,3197,35129,9.1,16606,9882,4406,44.6
18069,Huntington County,36757,18330,49.9,62734,3564,10.1,3.2,6.3,61.1,12.2,995,15227,6.5,6624,3628,1245,34.3
18071,Jackson County,46319,22697,49.0,70208,5067,11.2,3.1,9.2,62.4,15.3,1099,17745,6.2,7178,4707,1619,34.4
18073,Jasper County,33198,16662,50.2,79634,2259,6.9,3.9,4.4,60.0,6.8,713,12586,5.7,4472,2117,854,40.3
18075,Jay County,20281,10076,49.7,54114,2639,13.2,3.8,9.7,56.7,19.2,534,7959,6.7,3335,1748,620,35.5
18077,Jefferson County,33074,17168,51.9,59987,3489,11.2,4.1,8.8,54.7,13.6,1171,12699,9.2,5918,3883,1384,35.6
18079,Jennings County,27584,13569,49.2,68476,3339,12.5,4.3,9.0,58.8,14.7,945,10760,8.8,4154,2256,929,41.2
18081,Johnson County,163983,82751,50.5,87227,11600,7.2,3.0,4.8,64.2,8.0,3921,61513,6.4,22860,16030,6498,40.5
18083,Knox County,36108,17760,49.2,58863,4593,13.4,2.5,6.9,61.4,15.3,980,15110,6.5,6887,5155,1790,34.7
18085,Kosciusko County,80357,40150,50.0,73922,7615,9.7,2.9,11.1,62.8,12.0,1999,31747,6.3,12587,7309,3060,41.9
18087,LaGrange County,40596,19959,49.2,83741,2310,5.7,3.4,44.3,62.5,4.0,661,12804,5.2,3252,2326,455,19.6
18089,Lake County,498990,256128,51.3,68985,72010,14.6,6.3,6.8,57.3,21.8,19928,193474,10.3,80741,56369,25600,45.4
18091,LaPorte County,112141,54005,48.2,70452,14691,14.0,4.4,6.4,54.7,23.7,3886,43681,8.9,19621,11111,4482,40.3
18093,Lawrence County,45077,22823,50.6,65551,4984,11.3,3.4,6.4,59.1,12.1,1052,19156,5.5,8899,3835,1540,40.2
18095,Madison County,130949,64907,49.6,62632,16142,12.9,5.7,8.0,56.6,18.1,4676,52843,8.8,23411,15868,6678,42.1
18097,Marion County,971822,501089,51.6,63450,144204,15.1,5.1,9.0,64.7,20.3,36611,396662,9.2,219360,174825,84684,48.4
18099,Marshall County,46225,22835,49.4,68041,4979,10.9,2.8,13.0,60.5,14.3,904,17377,5.2,6712,4075,1376,33.8
18101,Martin County,9854,4782,48.5,65345,1594,16.4,2.1,7.1,60.3,31.6,180,3928,4.6,1805,855,288,33.7
18103,Miami County,35772,16377,45.8,61130,5083,15.2,6.5,7.5,51.9,24.9,960,13270,7.2,5145,3313,1254,37.9
18105,Monroe County,139822,70119,50.1,63372,25256,20.2,5.5,5.3,58.5,14.9,3123,58264,5.4,42224,26315,14219,54.0
18107,Montgomery County,38155,18725,49.1,66571,4388,11.9,3.8,8.2,60.9,15.9,856,15524,5.5,6750,3445,1321,38.3
18109,Morgan County,72202,36221,50.2,79088,6064,8.5,3.8,5.1,60.0,12.2,1921,27713,6.9,9077,4731,1990,42.1
18111,Newton County,13859,6782,48.9,68596,1843,13.5,8.7,5.8,55.3,18.5,342,5591,6.1,2089,1105,429,38.8
18113,Noble County,47417,23457,49.5,70908,3950,8.5,3.1,11.7,61.9,8.8,1097,17971,6.1,6672,4271,1659,38.8
18115,Ohio County,5993,3017,50.3,67942,529,8.9,1.2,6.3,57.5,15.6,227,2567,8.8,1008,589,293,49.7
18117,Orange County,19746,9840,49.8,64758,2575,13.3,2.9,7.1,60.8,19.0,632,7994,7.9,3176,1698,703,41.4
18119,Owen County,21434,10585,49.4,59586,2504,11.9,4.6,9.4,56.3,19.7,468,8598,5.4,3369,1647,483,29.3
18121,Parke County,16346,8485,51.9,66776,2623,17.2,5.2,15.7,49.2,25.3,324,5985,5.4,1983,1100,423,38.5
18123,Perry County,19218,8729,45.4,61099,2285,12.8,5.1,5.5,53.1,13.0,377,7751,4.9,3552,1943,712,36.6
18125,Pike County,12187,6124,50.3,66250,1466,12.2,3.1,4.3,56.4,21.8,190,4994,3.8,2112,726,251,34.6
18127,Porter County,174150,87928,50.5,85828,15723,9.2,4.4,4.8,59.6,11.2,4031,68049,5.9,28255,15506,6964,44.9
18129,Posey County,25163,12527,49.8,79124,2444,9.9,2.3,3.9,60.0,11.7,540,10270,5.3,3242,1840,609,33.1
18131,Pulaski County,12441,6259,50.3,59956,1442,11.8,2.8,7.5,58.8,10.4,352,4894,7.2,2118,1221,470,38.5
18133,Putnam County,37091,17516,47.2,76182,2616,8.1,2.1,3.9,55.5,10.6,725,13980,5.2,5195,3697,1478,40.0
18135,Randolph County,24425,12214,50.0,61121,3594,15.0,5.4,7.5,56.1,22.4,659,10182,6.5,4444,2292,966,42.1
18137,Ripley County,29039,14505,50.0,71084,2733,9.6,3.2,6.7,63.4,10.6,715,11356,6.3,4219,2519,998,39.6
18139,Rush County,16734,8399,50.2,64393,2135,13.0,5.7,7.9,56.9,15.0,402,6650,6.0,3097,1772,588,33.2
18141,St. Joseph County,272574,139102,51.0,64885,38013,14.6,5.0,7.3,59.9,20.6,8807,107005,8.2,53299,33356,15798,47.4
18143,Scott County,24468,12356,50.5,54583,3467,14.7,3.4,3.7,57.0,17.5,628,9637,6.5,4826,2690,943,35.1
18145,Shelby County,45104,22710,50.4,71301,5091,11.5,4.0,6.2,61.1,17.8,1030,18145,5.7,7612,4753,1702,35.8
18147,Spencer County,19871,9713,48.9,70890,1294,6.6,3.4,3.8,60.6,6.7,323,7979,4.0,3020,1497,486,32.5
18149,Starke County,23300,11553,49.6,62933,3426,14.8,3.4,6.5,52.4,18.4,507,8758,5.8,4053,1424,479,33.6
18151,Steuben County,34648,16661,48.1,71483,2912,8.8,7.1,6.3,58.0,10.7,596,13765,4.3,6162,2728,908,33.3
18153,Sullivan County,20766,9472,45.6,54985,2498,13.5,5.1,6.8,51.3,21.1,664,7697,8.6,3274,1877,608,32.4
18155,Switzerland County,9914,4876,49.2,65148,1083,11.1,4.1,13.1,58.0,12.1,145,3897,3.7,1838,786,259,33.0
18157,Tippecanoe County,187399,91425,48.8,58622,32500,19.0,2.9,5.5,60.7,16.6,4239,74415,5.7,49406,34303,17988,52.4
18159,Tipton County,15329,7607,49.6,78309,1741,11.5,3.0,8.0,59.4,20.7,208,6265,3.3,1744,1139,288,25.3
18161,Union County,7028,3553,50.6,79500,446,6.4,5.1,8.0,62.0,10.6,168,2852,5.9,928,496,173,34.9
18163,Vanderburgh County,179908,92059,51.2,60938,24967,14.4,4.4,7.3,61.3,19.9,6887,77198,8.9,37452,27426,11902,43.4
18165,Vermillion County,15452,7668,49.6,59363,2012,13.3,6.0,4.0,54.4,15.0,397,6560,6.1,2681,1693,702,41.5
18167,Vigo County,106201,52585,49.5,52525,19750,20.0,6.1,7.7,54.8,25.6,3313,42595,7.8,24713,15611,8085,51.8
18169,Wabash County,30901,15739,50.9,68414,3136,10.7,3.6,6.8,58.3,13.8,898,12554,7.2,4951,2460,909,37.0
18171,Warren County,8469,4250,50.2,74635,1061,12.7,4.6,4.9,61.7,19.0,168,3359,5.0,1221,637,231,36.3
18173,Warrick County,64650,32886,50.9,95027,4053,6.4,2.9,3.1,62.9,8.3,1335,24697,5.4,8176,4316,1408,32.6
18175,Washington County,28167,14166,50.3,61358,3724,13.5,3.6,8.3,58.7,16.8,866,10994,7.9,4093,1946,692,35.6
18177,Wayne County,66377,33981,51.2,56652,10795,16.9,5.3,10.7,56.7,23.6,2321,26818,8.7,11725,8122,3685,45.4
18179,Wells County,28261,14265,50.5,69741,1996,7.2,2.1,6.6,65.2,6.9,621,11360,5.5,4088,2704,897,33.2
18181,White County,24709,12249,49.6,66143,2422,10.0,4.8,7.2,57.6,10.9,636,9865,6.4,4296,2039,798,39.1
18183,Whitley County,34388,17168,49.9,75790,3627,10.7,4.5,7.8,62.9,17.7,817,13929,5.9,5371,2757,961,34.9
